ID;pokemon;cerco;scambio
001;Bulbasaur;;
002;Ivysaur;;
003;Venusaur;;
004;Charmander;;
005;Charmeleon;;
006;Charizard;;
007;Squirtle;;
008;Wartortle;;
009;Blastoise;;
010;Caterpie;;
011;Metapod;;
012;Butterfree;;
013;Weedle;;
014;Kakuna;;
015;Beedrill;;
016;Pidgey;;
017;Pidgeotto;;
018;Pidgeot;;
019;Rattata;;
020;Raticate;;
021;Spearow;;
022;Fearow;;
023;Ekans;;
024;Arbok;;
025;Pikachu;;
026;Raichu;;
027;Sandshrew;;
028;Sandslash;;
029;Nidoran F;;
030;Nidorina;;
031;Nidoqueen;;
032;Nidoran M;;
033;Nidorino;;
034;Nidoking;;
035;Clefairy;;
036;Clefable;;
037;Vulpix;;
038;Ninetales;;
039;Jigglypuff;;
040;Wigglytuff;;
041;Zubat;;
042;Golbat;;
043;Oddish;;
044;Gloom;;
045;Vileplume;;
046;Paras;;
047;Parasect;;
048;Venonat;;
049;Venomoth;;
050;Diglett;;
051;Dugtrio;;
052;Meowth;;
053;Persian;;
054;Psyduck;;
055;Golduck;;
056;Mankey;;
057;Primeape;;
058;Growlithe;;
059;Arcanine;;
060;Poliwag;;
061;Poliwhirl;;
062;Poliwrath;;
063;Abra;;
064;Kadabra;;
065;Alakazam;;
066;Machop;;
067;Machoke;;
068;Machamp;;
069;Bellsprout;;
070;Weepinbell;;
071;Victreebel;;
072;Tentacool;;
073;Tentacruel;;
074;Geodude;;
075;Graveler;;
076;Golem;;
077;Ponyta;;
078;Rapidash;;
079;Slowpoke;;
080;Slowbro;;
081;Magnemite;;
082;Magneton;;
083;Farfetch'd;;
084;Doduo;;
085;Dodrio;;
086;Seel;;
087;Dewgong;;
088;Grimer;;
089;Muk;;
090;Shellder;;
091;Cloyster;;
092;Gastly;;
093;Haunter;;
094;Gengar;;
095;Onix;;
096;Drowzee;;
097;Hypno;;
098;Krabby;;
099;Kingler;;
100;Voltorb;;
101;Electrode;;
102;Exeggcute;;
103;Exeggutor;;
104;Cubone;;
105;Marowak;;
106;Hitmonlee;;
107;Hitmonchan;;
108;Lickitung;;
109;Koffing;;
110;Weezing;;
111;Rhyhorn;;
112;Rhydon;;
113;Chansey;;
114;Tangela;;
115;Kangaskhan;;
116;Horsea;;
117;Seadra;;
118;Goldeen;;
119;Seaking;;
120;Staryu;;
121;Starmie;;
122;Mr. Mime;;
123;Scyther;;
124;Jynx;;
125;Electabuzz;;
126;Magmar;;
127;Pinsir;;
128;Tauros;;
129;Magikarp;;
130;Gyarados;;
131;Lapras;;
132;Ditto;;
133;Eevee;;
134;Vaporeon;;
135;Jolteon;;
136;Flareon;;
137;Porygon;;
138;Omanyte;;
139;Omastar;;
140;Kabuto;;
141;Kabutops;;
142;Aerodactyl;;
143;Snorlax;;
144;Articuno;;
145;Zapdos;;
146;Moltres;;
147;Dratini;;
148;Dragonair;;
149;Dragonite;;
150;Mewtwo;;
151;Mew;;
152;Chikorita;;
153;Bayleef;;
154;Meganium;;
155;Cyndaquil;;
156;Quilava;;
157;Typhlosion;;
158;Totodile;;
159;Croconaw;;
160;Feraligatr;;
161;Sentret;;
162;Furret;;
163;Hoothoot;;
164;Noctowl;;
165;Ledyba;;
166;Ledian;;
167;Spinarak;;
168;Ariados;;
169;Crobat;;
170;Chinchou;;
171;Lanturn;;
172;Pichu;;
173;Cleffa;;
174;Igglybuff;;
175;Togepi;;
176;Togetic;;
177;Natu;;
178;Xatu;;
179;Mareep;;
180;Flaaffy;;
181;Ampharos;;
182;Bellossom;;
183;Marill;;
184;Azumarill;;
185;Sudowoodo;;
186;Politoed;;
187;Hoppip;;
188;Skiploom;;
189;Jumpluff;;
190;Aipom;;
191;Sunkern;;
192;Sunflora;;
193;Yanma;;
194;Wooper;;
195;Quagsire;;
196;Espeon;;
197;Umbreon;;
198;Murkrow;;
199;Slowking;;
200;Misdreavus;;
201;Unown;;
202;Wobbuffet;;
203;Girafarig;;
204;Pineco;;
205;Forretress;;
206;Dunsparce;;
207;Gligar;;
208;Steelix;;
209;Snubbull;;
210;Granbull;;
211;Qwilfish;;
212;Scizor;;
213;Shuckle;;
214;Heracross;;
215;Sneasel;;
216;Teddiursa;;
217;Ursaring;;
218;Slugma;;
219;Magcargo;;
220;Swinub;;
221;Piloswine;;
222;Corsola;;
223;Remoraid;;
224;Octillery;;
225;Delibird;;
226;Mantine;;
227;Skarmory;;
228;Houndour;;
229;Houndoom;;
230;Kingdra;;
231;Phanpy;;
232;Donphan;;
233;Porygon2;;
234;Stantler;;
235;Smeargle;;
236;Tyrogue;;
237;Hitmontop;;
238;Smoochum;;
239;Elekid;;
240;Magby;;
241;Miltank;;
242;Blissey;;
243;Raikou;;
244;Entei;;
245;Suicune;;
246;Larvitar;;
247;Pupitar;;
248;Tyranitar;;
249;Lugia;;
250;Ho-oh;;
251;Celebi;;
252;Treecko;;
253;Grovyle;;
254;Sceptile;;
255;Torchic;;
256;Combusken;;
257;Blaziken;;
258;Mudkip;;
259;Marshtomp;;
260;Swampert;;
261;Poochyena;;
262;Mightyena;;
263;Zigzagoon;;
264;Linoone;;
265;Wurmple;;
266;Silcoon;;
267;Beautifly;;
268;Cascoon;;
269;Dustox;;
270;Lotad;;
271;Lombre;;
272;Ludicolo;;
273;Seedot;;
274;Nuzleaf;;
275;Shiftry;;
276;Taillow;;
277;Swellow;;
278;Wingull;;
279;Pelipper;;
280;Ralts;;
281;Kirlia;;
282;Gardevoir;;
283;Surskit;;
284;Masquerain;;
285;Shroomish;;
286;Breloom;;
287;Slakoth;;
288;Vigoroth;;
289;Slaking;;
290;Nincada;;
291;Ninjask;;
292;Shedinja;;
293;Whismur;;
294;Loudred;;
295;Exploud;;
296;Makuhita;;
297;Hariyama;;
298;Azurill;;
299;Nosepass;;
300;Skitty;;
301;Delcatty;;
302;Sableye;;
303;Mawile;;
304;Aron;;
305;Lairon;;
306;Aggron;;
307;Meditite;;
308;Medicham;;
309;Electrike;;
310;Manectric;;
311;Plusle;;
312;Minun;;
313;Volbeat;;
314;Illumise;;
315;Roselia;;
316;Gulpin;;
317;Swalot;;
318;Carvanha;;
319;Sharpedo;;
320;Wailmer;;
321;Wailord;;
322;Numel;;
323;Camerupt;;
324;Torkoal;;
325;Spoink;;
326;Grumpig;;
327;Spinda;;
328;Trapinch;;
329;Vibrava;;
330;Flygon;;
331;Cacnea;;
332;Cacturne;;
333;Swablu;;
334;Altaria;;
335;Zangoose;;
336;Seviper;;
337;Lunatone;;
338;Solrock;;
339;Barboach;;
340;Whiscash;;
341;Corphish;;
342;Crawdaunt;;
343;Baltoy;;
344;Claydol;;
345;Lileep;;
346;Cradily;;
347;Anorith;;
348;Armaldo;;
349;Feebas;;
350;Milotic;;
351;Castform;;
352;Kecleon;;
353;Shuppet;;
354;Banette;;
355;Duskull;;
356;Dusclops;;
357;Tropius;;
358;Chimecho;;
359;Absol;;
360;Wynaut;;
361;Snorunt;;
362;Glalie;;
363;Spheal;;
364;Sealeo;;
365;Walrein;;
366;Clamperl;;
367;Huntail;;
368;Gorebyss;;
369;Relicanth;;
370;Luvdisc;;
371;Bagon;;
372;Shelgon;;
373;Salamence;;
374;Beldum;;
375;Metang;;
376;Metagross;;
377;Regirock;;
378;Regice;;
379;Registeel;;
380;Latias;;
381;Latios;;
382;Kyogre;;
383;Groudon;;
384;Rayquaza;;
385;Jirachi;;
386;Deoxys-A;;
386;Deoxys-D;;
386;Deoxys-N;;
386;Deoxys-S;;
387;Turtwig;;
388;Grotle;;
389;Torterra;;
390;Chimchar;;
391;Monferno;;
392;Infernape;;
393;Piplup;;
394;Prinplup;;
395;Empoleon;;
396;Starly;;
397;Staravia;;
398;Staraptor;;
399;Bidoof;;
400;Bibarel;;
401;Kricketot;;
402;Kricketune;;
403;Shinx;;
404;Luxio;;
405;Luxray;;
406;Budew;;
407;Roserade;;
408;Cranidos;;
409;Rampardos;;
410;Shieldon;;
411;Bastiodon;;
412;Burmy;;
413;Wormadam;;
413;Wormadam-G;;
413;Wormadam-S;;
414;Mothim;;
415;Combee;;
416;Vespiquen;;
417;Pachirisu;;
418;Buizel;;
419;Floatzel;;
420;Cherubi;;
421;Cherrim;;
422;Shellos;;
423;Gastrodon;;
424;Ambipom;;
425;Drifloon;;
426;Drifblim;;
427;Buneary;;
428;Lopunny;;
429;Mismagius;;
430;Honchkrow;;
431;Glameow;;
432;Purugly;;
433;Chingling;;
434;Stunky;;
435;Skuntank;;
436;Bronzor;;
437;Bronzong;;
438;Bonsly;;
439;Mime Jr.;;
440;Happiny;;
441;Chatot;;
442;Spiritomb;;
443;Gible;;
444;Gabite;;
445;Garchomp;;
446;Munchlax;;
447;Riolu;;
448;Lucario;;
449;Hippopotas;;
450;Hippowdon;;
451;Skorupi;;
452;Drapion;;
453;Croagunk;;
454;Toxicroak;;
455;Carnivine;;
456;Finneon;;
457;Lumineon;;
458;Mantyke;;
459;Snover;;
460;Abomasnow;;
461;Weavile;;
462;Magnezone;;
463;Lickilicky;;
464;Rhyperior;;
465;Tangrowth;;
466;Electivire;;
467;Magmortar;;
468;Togekiss;;
469;Yanmega;;
470;Leafeon;;
471;Glaceon;;
472;Gliscor;;
473;Mamoswine;;
474;Porygon-Z;;
475;Gallade;;
476;Probopass;;
477;Dusknoir;;
478;Froslass;;
479;Rotom;;
479;Rotom-C;;
479;Rotom-F;;
479;Rotom-H;;
479;Rotom-S;;
479;Rotom-W;;
480;Uxie;;
481;Mesprit;;
482;Azelf;;
483;Dialga;;
484;Palkia;;
485;Heatran;;
486;Regigigas;;
487;Giratina;;
487;Giratina-O;;
488;Cresselia;;
489;Phione;;
490;Manaphy;;
491;Darkrai;;
492;Shaymin;;
492;Shaymin-S;;
493;Arceus;;
493;Arceus-Bug;;
493;Arceus-Dark;;
493;Arceus-Dragon;;
493;Arceus-Electric;;
493;Arceus-Fighting;;
493;Arceus-Fire;;
493;Arceus-Flying;;
493;Arceus-Ghost;;
493;Arceus-Grass;;
493;Arceus-Ground;;
493;Arceus-Ice;;
493;Arceus-Poison;;
493;Arceus-Psychic;;
493;Arceus-Rock;;
493;Arceus-Steel;;
493;Arceus-Water;;
1001;Bulbasaur shiny;;
1002;Ivysaur shiny;;
1003;Venusaur shiny;;
1004;Charmander shiny;;
1005;Charmeleon shiny;;
1006;Charizard shiny;;
1007;Squirtle shiny;;
1008;Wartortle shiny;;
1009;Blastoise shiny;;
1010;Caterpie shiny;;
1011;Metapod shiny;;
1012;Butterfree shiny;;
1013;Weedle shiny;;
1014;Kakuna shiny;;
1015;Beedrill shiny;;
1016;Pidgey shiny;;
1017;Pidgeotto shiny;;
1018;Pidgeot shiny;;
1019;Rattata shiny;;
1020;Raticate shiny;;
1021;Spearow shiny;;
1022;Fearow shiny;;
1023;Ekans shiny;;
1024;Arbok shiny;;
1025;Pikachu shiny;;
1026;Raichu shiny;;
1027;Sandshrew shiny;;
1028;Sandslash shiny;;
1029;Nidoran F shiny;;
1030;Nidorina shiny;;
1031;Nidoqueen shiny;;
1032;Nidoran M shiny;;
1033;Nidorino shiny;;
1034;Nidoking shiny;;
1035;Clefairy shiny;;
1036;Clefable shiny;;
1037;Vulpix shiny;;
1038;Ninetales shiny;;
1039;Jigglypuff shiny;;
1040;Wigglytuff shiny;;
1041;Zubat shiny;;
1042;Golbat shiny;;
1043;Oddish shiny;;
1044;Gloom shiny;;
1045;Vileplume shiny;;
1046;Paras shiny;;
1047;Parasect shiny;;
1048;Venonat shiny;;
1049;Venomoth shiny;;
1050;Diglett shiny;;
1051;Dugtrio shiny;;
1052;Meowth shiny;;
1053;Persian shiny;;
1054;Psyduck shiny;;
1055;Golduck shiny;;
1056;Mankey shiny;;
1057;Primeape shiny;;
1058;Growlithe shiny;;
1059;Arcanine shiny;;
1060;Poliwag shiny;;
1061;Poliwhirl shiny;;
1062;Poliwrath shiny;;
1063;Abra shiny;;
1064;Kadabra shiny;;
1065;Alakazam shiny;;
1066;Machop shiny;;
1067;Machoke shiny;;
1068;Machamp shiny;;
1069;Bellsprout shiny;;
1070;Weepinbell shiny;;
1071;Victreebel shiny;;
1072;Tentacool shiny;;
1073;Tentacruel shiny;;
1074;Geodude shiny;;
1075;Graveler shiny;;
1076;Golem shiny;;
1077;Ponyta shiny;;
1078;Rapidash shiny;;
1079;Slowpoke shiny;;
1080;Slowbro shiny;;
1081;Magnemite shiny;;
1082;Magneton shiny;;
1083;Farfetch'd shiny;;
1084;Doduo shiny;;
1085;Dodrio shiny;;
1086;Seel shiny;;
1087;Dewgong shiny;;
